MALLOC	0x7fb86e809862	140430104632792	140430104631752	€ž€n¸	140430104633168	20320
MALLOC	0x600002654070	12	1	src/logger.c:43:40	311143	318459
MALLOC	0x600003154000	56	1	src/server.c:105:64	3546781585	3546797596
MALLOC	0x7fb86e8098f8	184	1	./include/tree.h:25:39	3546804060	3546815708
MALLOC	0x600003154040	51	1	src/logger.c:62:27	3546820975	3546821234
FREE	0x600003154040	0	0	src/logger.c:71:5	3547332037	3547332392
MALLOC	0x600003154040	56	1	src/server.c:105:64	3547353192	3547353564
MALLOC	0x7fb86e8099c8	184	1	./include/tree.h:25:39	3547354342	3547356017
MALLOC	0x600003154100	51	1	src/logger.c:62:27	3547356983	3547357100
FREE	0x600003154100	0	0	src/logger.c:71:5	3547360911	3547361068
MALLOC	0x600003154100	56	1	src/server.c:105:64	3547375155	3547375363
MALLOC	0x7fb86e809a98	184	1	./include/tree.h:25:39	3547375960	3547376622
MALLOC	0x600003154140	51	1	src/logger.c:62:27	3547377316	3547377420
FREE	0x600003154140	0	0	src/logger.c:71:5	3547380497	3547380646
MALLOC	0x600003154140	56	1	src/server.c:105:64	3547391605	3547391793
MALLOC	0x7fb86e809b68	184	1	./include/tree.h:25:39	3547392398	3547393080
MALLOC	0x600003154180	51	1	src/logger.c:62:27	3547393598	3547393743
FREE	0x600003154180	0	0	src/logger.c:71:5	3547396951	3547397131
MALLOC	0x600003154180	56	1	src/server.c:105:64	3547415108	3547415427
MALLOC	0x7fb86e809c38	184	1	./include/tree.h:25:39	3547416529	3547417693
MALLOC	0x6000031541c0	51	1	src/logger.c:62:27	3547418632	3547418796
FREE	0x6000031541c0	0	0	src/logger.c:71:5	3547423257	3547423456
MALLOC	0x6000031541c0	56	1	src/server.c:105:64	3547444314	3547444625
MALLOC	0x7fb86e809d08	184	1	./include/tree.h:25:39	3547445721	3547446899
MALLOC	0x600003154200	51	1	src/logger.c:62:27	3547447852	3547448044
FREE	0x600003154200	0	0	src/logger.c:71:5	3547452431	3547452617
MALLOC	0x600003154200	56	1	src/server.c:105:64	3547472382	3547472829
MALLOC	0x7fb86e809dd8	184	1	./include/tree.h:25:39	3547473732	3547474845
MALLOC	0x600003154240	51	1	src/logger.c:62:27	3547475858	3547476030
FREE	0x600003154240	0	0	src/logger.c:71:5	3547480446	3547480649
MALLOC	0x600003154240	56	1	src/server.c:105:64	3547503270	3547503666
MALLOC	0x7fb86e809ea8	184	1	./include/tree.h:25:39	3547504581	3547505578
MALLOC	0x600003154280	51	1	src/logger.c:62:27	3547506407	3547506524
FREE	0x600003154280	0	0	src/logger.c:71:5	3547510086	3547510230
MALLOC	0x600003154280	56	1	src/server.c:105:64	3547524232	3547524459
